,sample_id,group,scNiche,annotations_level1,annotations_level2,annotations_level3
BXNFB_C1_amkhehco-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_amlffape-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_amlghifa-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BXNFB_C1_amliehff-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BXNFB_C1_amlifpec-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_amlkknnl-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-interstitial,VIC-interstitial
BXNFB_C1_amllhpih-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BXNFB_C1_amlmlhca-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_amlopchp-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_ammcnnel-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_ammdagcp-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_ammiaflk-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_ammjcgkj-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_ammmiham-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_ammnekie-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_ammpgelg-1,BXNFB_C1,dim,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BXNFB_C1_amnahocb-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_amnnmcjo-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_amnpfcmd-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
